year,director_facebook_likes,genres.name,no_of_nominations,movie_facebook_likes,movies.name,budget,imdb_rating,name,race,religion,country,sexual_orientation,metacritic_rating,actor_facebook_likes,category
1998,0,Drama,14,26000,Titanic,200000000,8,James Cameron,White,Atheist,USA,Straight,74.0,29000,Best Director
1998,0,Drama,14,26000,Titanic,200000000,8,James Cameron,White,Atheist,USA,Straight,74.0,29000,Best Director
1998,0,Romance,14,26000,Titanic,200000000,8,James Cameron,White,Atheist,USA,Straight,74.0,29000,Best Director
1998,0,Romance,14,26000,Titanic,200000000,8,James Cameron,White,Atheist,USA,Straight,74.0,29000,Best Director
2009,22000,Action,,37000,The Dark Knight,185000000,9,Heath Ledger,White,Na,USA,Straight,,23000,Best Supporting Actor
2009,22000,Action,,37000,The Dark Knight,185000000,9,Heath Ledger,White,Na,USA,Straight,,23000,Best Supporting Actor
2009,22000,Crime,,37000,The Dark Knight,185000000,9,Heath Ledger,White,Na,USA,Straight,,23000,Best Supporting Actor
2009,22000,Crime,,37000,The Dark Knight,185000000,9,Heath Ledger,White,Na,USA,Straight,,23000,Best Supporting Actor
2009,22000,Drama,,37000,The Dark Knight,185000000,9,Heath Ledger,White,Na,USA,Straight,,23000,Best Supporting Actor
2009,22000,Drama,,37000,The Dark Knight,185000000,9,Heath Ledger,White,Na,USA,Straight,,23000,Best Supporting Actor
2009,22000,Thriller,,37000,The Dark Knight,185000000,9,Heath Ledger,White,Na,USA,Straight,,23000,Best Supporting Actor
2009,22000,Thriller,,37000,The Dark Knight,185000000,9,Heath Ledger,White,Na,USA,Straight,,23000,Best Supporting Actor
2013,0,Adventure,11,122000,Life of Pi,120000000,8,Ang Lee,Asian,Na,USA,Straight,79.0,774,Best Director
2013,0,Adventure,11,122000,Life of Pi,120000000,8,Ang Lee,Asian,Na,USA,Straight,79.0,774,Best Director
2013,0,Drama,11,122000,Life of Pi,120000000,8,Ang Lee,Asian,Na,USA,Straight,79.0,774,Best Director
2013,0,Drama,11,122000,Life of Pi,120000000,8,Ang Lee,Asian,Na,USA,Straight,79.0,774,Best Director
2013,0,Fantasy,11,122000,Life of Pi,120000000,8,Ang Lee,Asian,Na,USA,Straight,79.0,774,Best Director
2013,0,Fantasy,11,122000,Life of Pi,120000000,8,Ang Lee,Asian,Na,USA,Straight,79.0,774,Best Director
2005,17000,Biography,,0,The Aviator,110000000,8,Cate Blanchett,White,Na,USA,Straight,,29000,Best Supporting Actress
2005,17000,Biography,,0,The Aviator,110000000,8,Cate Blanchett,White,Na,USA,Straight,,29000,Best Supporting Actress
2005,17000,Drama,,0,The Aviator,110000000,8,Cate Blanchett,White,Na,USA,Straight,,29000,Best Supporting Actress
2005,17000,Drama,,0,The Aviator,110000000,8,Cate Blanchett,White,Na,USA,Straight,,29000,Best Supporting Actress
2001,0,Action,12,21000,Gladiator,103000000,9,Russell Crowe,White,Na,USA,Straight,64.0,3000,Best Actor
2001,0,Action,12,21000,Gladiator,103000000,9,Russell Crowe,White,Na,USA,Straight,64.0,3000,Best Actor
2001,0,Drama,12,21000,Gladiator,103000000,9,Russell Crowe,White,Na,USA,Straight,64.0,3000,Best Actor
2001,0,Drama,12,21000,Gladiator,103000000,9,Russell Crowe,White,Na,USA,Straight,64.0,3000,Best Actor
2001,0,Romance,12,21000,Gladiator,103000000,9,Russell Crowe,White,Na,USA,Straight,64.0,3000,Best Actor
2001,0,Romance,12,21000,Gladiator,103000000,9,Russell Crowe,White,Na,USA,Straight,64.0,3000,Best Actor
2013,16000,Drama,,199000,Django Unchained,100000000,9,Christoph Waltz,White,Na,USA,Straight,,29000,Best Supporting Actor
2013,16000,Drama,,199000,Django Unchained,100000000,9,Christoph Waltz,White,Na,USA,Straight,,29000,Best Supporting Actor
2013,16000,Western,,199000,Django Unchained,100000000,9,Christoph Waltz,White,Na,USA,Straight,,29000,Best Supporting Actor
2013,16000,Western,,199000,Django Unchained,100000000,9,Christoph Waltz,White,Na,USA,Straight,,29000,Best Supporting Actor
2007,17000,Crime,5,29000,The Departed,90000000,9,Martin Scorsese,White,Roman Catholic,USA,Straight,86.0,29000,Best Director
2007,17000,Crime,5,29000,The Departed,90000000,9,Martin Scorsese,White,Roman Catholic,USA,Straight,86.0,29000,Best Director
2007,17000,Drama,5,29000,The Departed,90000000,9,Martin Scorsese,White,Roman Catholic,USA,Straight,86.0,29000,Best Director
2007,17000,Drama,5,29000,The Departed,90000000,9,Martin Scorsese,White,Roman Catholic,USA,Straight,86.0,29000,Best Director
2007,17000,Thriller,5,29000,The Departed,90000000,9,Martin Scorsese,White,Roman Catholic,USA,Straight,86.0,29000,Best Director
2007,17000,Thriller,5,29000,The Departed,90000000,9,Martin Scorsese,White,Roman Catholic,USA,Straight,86.0,29000,Best Director
1960,335,Adventure,12,0,Ben-Hur,0,6,William Wyler,White,Na,USA,Straight,0.0,11000,Best Director
1960,335,Adventure,12,0,Ben-Hur,0,6,Charlton Heston,White,Protestant,USA,Straight,0.0,11000,Best Actor
1960,335,Adventure,12,0,Ben-Hur,0,6,Hugh Griffith,White,Na,USA,Na,0.0,11000,Best Supporting Actor
1960,335,Adventure,12,0,Ben-Hur,0,6,William Wyler,White,Na,USA,Straight,0.0,11000,Best Director
1960,335,Adventure,12,0,Ben-Hur,0,6,Charlton Heston,White,Protestant,USA,Straight,0.0,11000,Best Actor
1960,335,Adventure,12,0,Ben-Hur,0,6,Hugh Griffith,White,Na,USA,Na,0.0,11000,Best Supporting Actor
1960,335,Adventure,12,0,Ben-Hur,0,6,William Wyler,White,Na,USA,Straight,0.0,11000,Best Director
1960,335,Adventure,12,0,Ben-Hur,0,6,Charlton Heston,White,Protestant,USA,Straight,0.0,11000,Best Actor
1960,335,Adventure,12,0,Ben-Hur,0,6,Hugh Griffith,White,Na,USA,Na,0.0,11000,Best Supporting Actor
1960,335,Adventure,12,0,Ben-Hur,0,6,William Wyler,White,Na,USA,Straight,0.0,11000,Best Director
1960,335,Adventure,12,0,Ben-Hur,0,6,Charlton Heston,White,Protestant,USA,Straight,0.0,11000,Best Actor
1960,335,Adventure,12,0,Ben-Hur,0,6,Hugh Griffith,White,Na,USA,Na,0.0,11000,Best Supporting Actor
1960,335,Adventure,12,0,Ben-Hur,0,6,William Wyler,White,Na,USA,Straight,0.0,11000,Best Director
1960,335,Adventure,12,0,Ben-Hur,0,6,Charlton Heston,White,Protestant,USA,Straight,0.0,11000,Best Actor
1960,335,Adventure,12,0,Ben-Hur,0,6,Hugh Griffith,White,Na,USA,Na,0.0,11000,Best Supporting Actor
1960,335,Adventure,12,0,Ben-Hur,0,6,William Wyler,White,Na,USA,Straight,0.0,11000,Best Director
1960,335,Adventure,12,0,Ben-Hur,0,6,Charlton Heston,White,Protestant,USA,Straight,0.0,11000,Best Actor
